"","state","household_income","mc_cain_vote","region","obama_mc_cain","population","high_school","gsp","college","non_white","obama_vote"
"1","Alabama",38160,60.4,"S","M",4.525375,82.4,33264,24.6,29.4,39.6
"2","Alaska",57071,60.2,"W","M",0.657755,90.2,59238,29.2,26.2,39.8
"3","Arizona",46693,53.8,"W","M",5.739879,84.4,36457,30.8,31.1,46.2
"4","Arkansas",37458,58.8,"S","M",2.75,79.2,31215,26.7,17.8,41.2
"5","California",54385,37.2,"W","O",35.842038,81.3,44894,31.1,53,62.8
"6","Colorado",53900,44.9,"W","O",4.601821,88.3,46416,38,22.5,55.1
"7","Connecticut",60551,38.3,"NE","O",3.498966,88.8,55193,43.4,16.4,61.7
"8","Delaware",52676,37,"NE","O",0.830069,86.5,66961,37.7,22.1,63
"9","Florida",45038,48.4,"S","O",17.38543,85.9,37846,31,35.7,51.6
"10","Georgia",48388,52.2,"S","M",8.918129,85.2,40103,30.7,36.8,47.8
"11","Hawaii",61005,26.6,"W","O",1.262124,88,42361,36,73.3,73.4
"12","Idaho",45919,61.5,"W","M",1.39514,87.9,33020,27.7,13.5,38.5
"13","Illinois",49328,36.9,"MW","O",12.712016,86.8,43878,33.4,32,63.1
"14","Indiana",44618,49,"MW","O",6.226537,87.2,38037,26.7,14.1,51
"15","Iowa",48075,44.7,"MW","O",2.952904,89.8,38280,28.4,6.8,55.3
"16","Kansas",44478,56.8,"MW","M",2.733697,89.6,38465,32.7,13.6,43.2
"17","Kentucky",38694,57.5,"MW","M",4.141835,81.8,33666,22.6,9.4,42.5
"18","Louisiana",37472,58.6,"S","M",4.506685,78.7,37183,25.5,36.9,41.4
"19","Maine",45503,40.5,"NE","O",1.314985,87.1,34030,30.9,4.8,59.5
"20","Maryland",63082,36.8,"NE","O",5.561332,87.4,43967,42.5,37.6,63.2
"21","Massachusetts",56592,36.2,"NE","O",6.407382,86.9,50935,43.2,17.2,63.8
"22","Michigan",48043,40.9,"MW","O",10.104206,87.9,37175,29.8,21.1,59.1
"23","Minnesota",56102,44,"MW","O",5.096546,92.3,45697,34.5,9.8,56
"24","Mississippi",34343,56.4,"S","M",2.900768,83,27829,22.4,37.7,43.6
"25","Missouri",44487,49.4,"MW","M",5.759532,87.9,37251,27.1,15.7,50.6
"26","Montana",39821,49.7,"W","M",0.92692,91.9,31940,31.2,9,50.3
"27","Nebraska",48820,57,"MW","M",1.747704,91.3,40185,29.5,12.4,43
"28","Nevada",51036,42.7,"W","O",2.332898,86.3,46108,27.2,37.4,57.3
"29","New Hampshire",60441,44.8,"NE","O",1.299169,90.8,42033,38.6,5.4,55.2
"30","New Jersey",66752,42.1,"NE","O",8.685166,87.6,49447,38.3,35.2,57.9
"31","New Mexico",40126,42,"W","O",1.903006,82.9,35714,30.1,48.9,58
"32","New York",48472,36.7,"NE","O",19.280727,85.4,49748,36.3,39.1,63.3
"33","North Carolina",41616,49.5,"S","O",8.540468,80.9,39921,28.7,29.5,50.5
"34","North Dakota",42311,53.3,"MW","M",0.636308,89.5,38319,31.1,7,46.7
"35","Ohio",45776,47.2,"MW","O",11.450143,88.1,38461,30.5,14.9,52.8
"36","Oklahoma",38859,65.6,"S","M",3.523546,85.2,34243,23.9,28.1,34.4
"37","Oregon",46349,40.8,"W","O",3.591363,87.4,39625,31,16.8,59.2
"38","Pennsylvania",48148,44.3,"NE","O",12.394471,86.5,39344,28.4,15.4,55.7
"39","Rhode Island",52421,35.3,"NE","O",1.079916,81.1,40687,34.5,16.5,64.7
"40","South Carolina",40583,53.8,"S","M",4.197892,83.6,32906,27.2,33.3,46.2
"41","South Dakota",44996,53.2,"MW","M",0.770621,87.5,39848,29.8,8.3,46.8
"42","Tennessee",40696,56.9,"S","M",5.893298,82.9,38440,25.6,20.3,43.1
"43","Texas",43044,55.5,"S","M",22.471549,78.3,43283,27.6,43.1,44.5
"44","Utah",55619,62.9,"W","M",2.420708,91,36758,31,12.1,37.1
"45","Vermont",52174,30.6,"NE","O",0.621233,90.8,37020,37,5.6,69.4
"46","Virginia",55368,46.4,"S","O",7.481332,88.4,46502,39.1,22.9,53.6
"47","Washington",53515,40.7,"W","O",6.207046,89.7,42512,35.1,18.1,59.3
"48","West Virginia",38029,42.6,"S","M",1.812548,80.9,29199,20.2,7.7,57.4
"49","Wisconsin",48903,42.4,"MW","O",5.503533,88.8,39074,29.8,9.1,57.6
"50","Wyoming",46613,65.2,"W","M",0.505887,91.9,53543,29.6,9.6,34.8
